Date,Close,Volume
01-01-20,130.802002,7935230330
02-01-20,127.410179,8032709256
03-01-20,134.171707,10476845358
04-01-20,135.069366,7430904515
05-01-20,136.276779,7526675353
06-01-20,144.304153,9093747121
07-01-20,143.543991,9257954672
08-01-20,141.258133,9387194957
09-01-20,138.979202,7697325348
10-01-20,143.963776,9084816203
11-01-20,142.927109,9332208590
12-01-20,145.873932,8528167453
13-01-20,144.226593,8378529470
14-01-20,165.955353,16712318373
15-01-20,166.230682,15173694057
16-01-20,164.391006,13735193018
17-01-20,170.779953,14997091826
18-01-20,175.365677,14929342256
19-01-20,166.969849,13713374132
20-01-20,167.120514,11144529787
21-01-20,169.697159,9789369362
22-01-20,168.294159,9209827928
23-01-20,162.928558,10396868698
24-01-20,163.051178,10657671162
25-01-20,161.283936,8256956802
26-01-20,168.077103,9261861590
27-01-20,170.930893,11004476145
28-01-20,176.370316,11772875064
29-01-20,175.050339,10725267311
30-01-20,184.690475,12604789338
31-01-20,180.160172,11728616394
01-02-20,183.67395,11569697182
02-02-20,188.617538,14054425389
03-02-20,189.865067,12392875241
04-02-20,189.250595,11714191695
05-02-20,204.23024,14865434435
06-02-20,212.339081,16425589683
07-02-20,222.726059,16673443564
08-02-20,223.146515,16741203125
09-02-20,228.578568,15031356241
10-02-20,223.522705,16210008511
11-02-20,235.851196,16964695963
12-02-20,265.406128,24545049386
13-02-20,268.099243,25801317504
14-02-20,284.217499,23558253463
15-02-20,264.728577,23682452994
16-02-20,259.894714,25152366643
17-02-20,266.363434,26024080089
18-02-20,281.94458,26511477187
19-02-20,259.763977,22679414413
20-02-20,257.949463,23229828870
21-02-20,265.600616,20867593292
22-02-20,262.331726,16906032862
23-02-20,273.75415,19585998814
24-02-20,265.216431,22400845640
25-02-20,247.817596,21878882134
26-02-20,225.680267,26235617201
27-02-20,226.753387,25645522790
28-02-20,226.760498,22563530559
29-02-20,219.848511,18181296376
01-03-20,218.970596,18179807469
02-03-20,230.569778,20305587789
03-03-20,224.47963,19853178572
04-03-20,224.517975,16567075208
05-03-20,229.268188,18201291785
06-03-20,243.525299,19374772256
07-03-20,237.853088,19431652027
08-03-20,200.689056,21381823651
09-03-20,201.986328,23645428606
10-03-20,200.767242,18344930072
11-03-20,194.86853,16984790291
12-03-20,112.347122,22134741655
13-03-20,133.201813,27864623061
14-03-20,123.306023,12740784545
15-03-20,125.214302,12719251813
16-03-20,110.605873,15984904590
17-03-20,113.942749,12087490572
18-03-20,114.84227,11617854009
19-03-20,136.593857,16396753275
20-03-20,132.737167,18960388062
21-03-20,132.81871,13684083308
22-03-20,123.321152,12497707224
23-03-20,134.911606,14149877968
24-03-20,138.761444,14609068673
25-03-20,136.195892,13433092920
26-03-20,138.361557,11367261176
27-03-20,133.937943,11396286629
28-03-20,130.986496,12162403960
29-03-20,125.583733,9938133669
30-03-20,132.904541,11841123306
31-03-20,133.593567,11065246317
01-04-20,135.634552,12456564435
02-04-20,142.029144,15322861686
03-04-20,142.091309,13184603402
04-04-20,145.219391,11946658257
05-04-20,143.546646,11280993591
06-04-20,169.13588,21636382525
07-04-20,165.101944,21659346091
08-04-20,172.641739,17063110836
09-04-20,170.807144,14901696210
10-04-20,158.412445,17980944616
11-04-20,158.216019,13555089447
12-04-20,161.142426,15123721386
13-04-20,156.279556,16465282133
14-04-20,157.59639,14723156630
15-04-20,153.286896,14171753737
16-04-20,172.157379,22910469236
17-04-20,171.63858,16714684266
18-04-20,186.914001,20160323443
19-04-20,181.61496,19146038381
20-04-20,172.297165,21266681335
21-04-20,172.737701,16458767984
22-04-20,182.599579,17994666395
23-04-20,185.028671,21275740032
24-04-20,189.236938,16788555028
25-04-20,195.515305,18260969748
26-04-20,197.317535,18335367012
27-04-20,197.224716,18670194595
28-04-20,198.41539,18217507467
29-04-20,216.968231,26397548759
30-04-20,207.602051,28089191904
01-05-20,214.219101,20816320834
02-05-20,215.325378,18260876092
03-05-20,210.933151,20469034664
04-05-20,208.174011,22602446422
05-05-20,206.774399,19004689099
06-05-20,204.055786,20343543799
07-05-20,212.289413,23594744655
08-05-20,212.991577,20445139356
09-05-20,211.600128,18950547549
10-05-20,188.599564,25211575193
11-05-20,185.912842,20054601647
12-05-20,189.3125,15899726284
13-05-20,199.193283,17054662289
14-05-20,202.949097,20150524861
15-05-20,195.622665,16602342092
16-05-20,200.677124,15379081645
17-05-20,207.158691,15470397303
18-05-20,214.525055,17411566928
19-05-20,213.451111,14346192779
20-05-20,210.096741,12730175511
21-05-20,199.883606,13308321229
22-05-20,207.169189,12041592114
23-05-20,208.694397,10665476768
24-05-20,202.370346,11833299572
25-05-20,205.319748,10415044124
26-05-20,201.902313,10159741290
27-05-20,208.863434,10631034756
28-05-20,219.840424,12212469604
29-05-20,220.675125,12265816557
30-05-20,242.345596,15027397867
31-05-20,230.975708,12234904813
01-06-20,246.99176,13951727936
02-06-20,237.219055,13782107567
03-06-20,244.179321,9861760817
04-06-20,244.426392,10170414304
05-06-20,241.221985,9293963914
06-06-20,241.93132,8114873845
07-06-20,245.167252,9544883157
08-06-20,246.309906,8076783299
09-06-20,244.911453,8446545788
10-06-20,247.444946,8792990206
11-06-20,231.702667,12356528860
12-06-20,237.49321,8868955009
13-06-20,238.908844,7141624980
14-06-20,234.1147,7439385176
