Date,Umichigan_survey_change,ISM_Manufacturing_change,SPX_change,NASDAQ_change,Inflation_CPI_change,Inflation_PCE_change,10yr_bond_change,Fed_funds_rate_change,2yr_bond_change,Inflations_expectations_change,Inflation_surprises_change,Economic_surprises_change,Hourly_earnings_change,MS_Market_Sentiment_change,VIX_change,SOFR_change
2000-02-04,0.0,0.0,-0.00042106149603160503,0.0078746515063004,0.0,0.0,0.0006000000000000033,0.0,0.0010000000000000009,,0.0,0.0005,,,-0.0050361087947043415,
2000-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-02-07,0.0,0.0,-9.12684204243952e-05,0.018291102555523686,0.0,0.0,0.000899999999999998,0.0,0.0005000000000000004,,0.0,0.0,,,0.013276675056308695,
2000-02-08,0.0,0.0,0.01227321237993606,0.024473768849337052,0.0,0.0,-0.0002999999999999947,0.0,0.00010000000000000286,,0.0,0.0,,,-0.01641150762655602,
2000-02-09,0.0,0.0,-0.020822351080653667,-0.014522737231058347,0.0,0.0,0.0005000000000000004,0.0,-0.0002999999999999947,,0.0,0.0009999999999999996,,,0.017562221695571534,
2000-02-10,0.0,0.0,0.0036339165545087315,0.02805025623160784,0.0,0.0,9.999999999998899e-05,0.0,0.00010000000000000286,,0.0,-0.00019999999999999922,,,0.0017729537806972506,
2000-02-11,0.0,0.0,-0.020969347063515054,-0.02010419941011632,0.0,0.0,-0.0006999999999999923,0.0,-0.00010000000000000286,,0.0,0.0,,,0.013853565683320357,
2000-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-02-14,0.0,0.0,0.0020329892150643403,0.005255434597140285,0.0,0.0,-0.0005000000000000004,0.0,-0.0003000000000000086,,0.0,0.0,,,-0.0004048881990931785,
2000-02-15,0.0,0.0,0.008712606299552395,0.0005024272668636698,0.0,0.0,0.0,0.0,0.00010000000000000286,,0.0,0.00019999999999999922,,,-0.015012707681707371,
2000-02-16,0.0,0.0,-0.01025641025641022,0.001556289967584723,0.0,0.0,0.0,0.0,-0.00019999999999999185,,0.0,0.0008000000000000004,,,0.006122748752593332,
2000-02-17,0.0,0.0,0.00042517313194045947,0.027389247117545423,0.0,0.0,0.00020000000000000573,0.0,0.0005999999999999894,,0.0,0.00010000000000000026,,,-0.00351885503367666,
2000-02-18,0.0,0.0,-0.030376154322677373,-0.030156608601602186,0.0,0.0,-0.000800000000000009,0.0,-0.0002999999999999947,,0.0,0.0,,,0.028549689496928876,
